numero,cabala
1,L'Italia
2,'A criatura (La bambina)
3,'A jatta (La gatta)
4,'O puorco (Il maiale)
5,'A mano (La mano)
6,Chella che guarda 'nterra (Quella che guarda a terra)
7,'O vasetto (Il vaso)
8,'A Madonna (La Madonna)
9,'A figliata (La figliolanza)
10,'E fasule (I fagioli)
11,'E surice (I topi)
12,'E surdate (I soldati)
13,Sant'Antonio
14,'O 'mbriaco (L'ubriaco)
15,'O guaglione (Il ragazzo)
16,'O culo (Il sedere)
17,'A disgrazzia (La sfortuna)
18,'O sanghe (Il sangue)
19,'A resata (La risata)
20,'A festa (La festa)
21,'A femmena annura (La donna nuda)
22,'O pazzo (Il pazzo)
23,'O scemo (Lo scemo)
24,'E gguardie (Le guardie)
25,Natale
26,Nanninella (La piccola Anna)
27,'O cantero (Il vaso da notte)
28,'E zzizze (I seni)
29,'O pate d' 'e criature (Il padre dei bimbi)
30,'E palle d' 'o tenente (Le palle del tenente)
31,'O padrone 'e casa (Il padrone di casa)
32,'O capitone (Il capitone)
33,L'anne 'e Cristo (Gli anni di Cristo)
34,'A capa (La testa)
35,L'aucielluzzo (L'uccellino)
36,'E castagnelle (Le nacchere)
37,'O monaco (Il monaco)
38,'E mazzate (Le botte)
39,'A funa 'nganna (La corda al collo)
40,'A paposcia (L'ernia)
41,'O curtiello (Il coltello)
42,'O cafè (Il caffè)
43,'Onna pereta fore 'o barcone (Donna al balcone)
44,'E ccancelle (Il carcere)
45,'O vino bbuono (Il buon vino)
46,'E denare (I soldi)
47,'O muorto (Il morto)
48,'O muorto che pparla (Il morto che parla)
49,'O piezzo 'e carne (La carne)
50,'O ppane (Il pane)
51,'O ciardino (Il giardino)
52,'A mamma (La mamma)
53,'O viecchio (Il vecchio)
54,'O cappiello (Il cappello)
55,'A museca (La musica)
56,'A caruta (La caduta)
57,'O scartellato (Il gobbo)
58,'O paccotto (Il pacco)
59,'E pile (I peli)
60,Se lamenta (Il lamento)
61,'O cacciatore (Il cacciatore)
62,'O muorto acciso (Il morto ammazzato)
63,'A sposa (La sposa)
64,'A sciammeria (La marsina)
65,'O chianto (Il pianto)
66,'E ddoie zetelle (Le due zitelle)
67,'O totaro int'a chitarra (Il totano nella chitarra)
68,'A zuppa cotta (La minestra cotta)
69,Sott'e 'ncoppa (Sottosopra)
70,'O palazzo (Il palazzo)
71,L'ommo 'e merda (L'uomo riprovevole)
72,'A meraviglia (Lo stupore)
73,'O spitale (L'ospedale)
74,'A rotta (La grotta)
75,Pullecenella (Pulcinella)
76,'A funtana (La fontana)
77,'E riavulille (I diavoli)
78,'A bella figliola (La bella ragazza)
79,'O mariuolo (Il ladro)
80,'A vocca (La bocca)
81,'E sciure (I fiori)
82,'A tavula 'mbandita (La tavola imbandita)
83,'O maletiempo (Il maltempo)
84,'A cchiesa (La chiesa)
85,'E aneme d' 'o priatorio (Le anime del purgatorio)
86,'A puteca (Il negozio)
87,'E perucchie (I pidocchi)
88,'E ccasecavalle (I caciocavalli)
89,'A vecchia (La vecchia)
90,'A paura (La paura)
